,Date,ASIN,Product Name,Current Inventory,Updated Current Inventory,Daily_Run_Rate,Date of OOS,Expected Date to be in Air,Days of inventory,Inventory Status,Total Upcoming Shipment,Days_To_Target,Expected_Usage,Total_Available,Required Projected Inventory,Buffer_Stock,Required_Shipment_with_buffer_stock
7193,2024-10-18,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7194,2024-10-19,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7195,2024-10-20,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7196,2024-10-21,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7197,2024-10-22,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7198,2024-10-23,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7199,2024-10-24,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7200,2024-10-25,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,27.0,10.0,17-03-2025,25-02-2025,27,Expected to be in air,277,30,300.0,277,23.0,150.0,173.0
7201,2024-10-26,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7202,2024-10-27,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7203,2024-10-28,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7204,2024-10-29,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,27.0,10.0,17-03-2025,25-02-2025,27,Expected to be in air,277,30,300.0,277,23.0,150.0,173.0
7205,2024-10-30,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7206,2024-10-31,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,27.0,10.0,17-03-2025,25-02-2025,27,Expected to be in air,277,30,300.0,277,23.0,150.0,173.0
7207,2024-11-01,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,27.0,10.0,17-03-2025,25-02-2025,27,Expected to be in air,277,30,300.0,277,23.0,150.0,173.0
7208,2024-11-02,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7209,2024-11-03,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7210,2024-11-04,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7211,2024-11-05,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7212,2024-11-06,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7213,2024-11-07,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,27.0,10.0,17-03-2025,25-02-2025,27,Expected to be in air,277,30,300.0,277,23.0,150.0,173.0
7214,2024-11-08,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7215,2024-11-09,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7216,2024-11-10,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7217,2024-11-11,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,127.0,15.0,08-03-2025,16-02-2025,18,In AIR,277,30,450.0,277,173.0,225.0,398.0
7218,2024-11-12,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,87.0,19.0,04-03-2025,12-02-2025,14,In AIR,277,30,570.0,277,293.0,285.0,578.0
7219,2024-11-13,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,67.0,21.0,03-03-2025,11-02-2025,13,In AIR,277,30,630.0,277,353.0,315.0,668.0
7220,2024-11-14,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,57.0,22.0,02-03-2025,10-02-2025,12,In AIR,277,30,660.0,277,383.0,330.0,713.0
7221,2024-11-15,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,67.0,21.0,03-03-2025,11-02-2025,13,In AIR,277,30,630.0,277,353.0,315.0,668.0
7222,2024-11-16,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,117.0,16.0,07-03-2025,15-02-2025,17,In AIR,277,30,480.0,277,203.0,240.0,443.0
7223,2024-11-17,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,127.0,15.0,08-03-2025,16-02-2025,18,In AIR,277,30,450.0,277,173.0,225.0,398.0
7224,2024-11-18,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,147.0,13.0,11-03-2025,19-02-2025,21,Expected to be in air,277,30,390.0,277,113.0,195.0,308.0
7225,2024-11-19,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7226,2024-11-20,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7227,2024-11-21,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7228,2024-11-22,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,22.0,5.0,14-04-2025,25-03-2025,55,Expected to be in air,277,30,150.0,277,-127.0,75.0,-52.0
7229,2024-11-23,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,22.0,5.0,14-04-2025,25-03-2025,55,Expected to be in air,277,30,150.0,277,-127.0,75.0,-52.0
7230,2024-11-24,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,22.0,5.0,14-04-2025,25-03-2025,55,Expected to be in air,277,30,150.0,277,-127.0,75.0,-52.0
7231,2024-11-25,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,22.0,5.0,14-04-2025,25-03-2025,55,Expected to be in air,277,30,150.0,277,-127.0,75.0,-52.0
7232,2024-11-26,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7233,2024-11-27,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7234,2024-11-28,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,31.0,6.0,05-04-2025,16-03-2025,46,Expected to be in air,277,30,180.0,277,-97.0,90.0,-7.0
7235,2024-11-29,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7236,2024-11-30,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7237,2024-12-01,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7238,2024-12-02,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7239,2024-12-03,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7240,2024-12-04,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7241,2024-12-05,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7242,2024-12-06,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7243,2024-12-07,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7244,2024-12-08,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7245,2024-12-09,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,27.0,10.0,17-03-2025,25-02-2025,27,Expected to be in air,277,30,300.0,277,23.0,150.0,173.0
7246,2024-12-10,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7247,2024-12-11,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,27.0,10.0,17-03-2025,25-02-2025,27,Expected to be in air,277,30,300.0,277,23.0,150.0,173.0
7248,2024-12-12,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7249,2024-12-13,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,52.0,9.0,20-03-2025,28-02-2025,30,Expected to be in air,277,30,270.0,277,-7.0,135.0,128.0
7250,2024-12-14,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7251,2024-12-15,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,157.0,12.0,13-03-2025,21-02-2025,23,Expected to be in air,277,30,360.0,277,83.0,180.0,263.0
7252,2024-12-16,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,137.0,14.0,09-03-2025,17-02-2025,19,In AIR,277,30,420.0,277,143.0,210.0,353.0
7253,2024-12-17,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,137.0,14.0,09-03-2025,17-02-2025,19,In AIR,277,30,420.0,277,143.0,210.0,353.0
7254,2024-12-18,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,147.0,13.0,11-03-2025,19-02-2025,21,Expected to be in air,277,30,390.0,277,113.0,195.0,308.0
7255,2024-12-19,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7256,2024-12-20,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,2.0,11.0,15-03-2025,23-02-2025,25,Expected to be in air,277,30,330.0,277,53.0,165.0,218.0
7257,2024-12-21,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7258,2024-12-22,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,32.0,7.0,29-03-2025,09-03-2025,39,Expected to be in air,277,30,210.0,277,-67.0,105.0,38.0
7259,2024-12-23,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7260,2024-12-24,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
7261,2024-12-25,B07QZ4138D,SVA Myrrh Oil 10ml (US),277,77.0,8.0,24-03-2025,04-03-2025,34,Expected to be in air,277,30,240.0,277,-37.0,120.0,83.0
